2015,0,0,0
2016,54,411,0
2020,11,11,0
2020,10,10,0
2015,21,98,2
2017,11,40,2
2015,6,6,2
2016,53,98,0
2020,20,20,0
2015,28,69,0
2020,35,35,1
2016,4,8,0
2015,3,3,0
2016,5,8,0
2020,0,0,0
2020,37,37,2
2019,98,138,0
2016,8,16,0
2019,5,5,0
2018,16,18,0
2017,49,92,0
2019,9,9,2
2012,12,19,0
2019,7,7,0
2019,8,14,0
2020,8,8,0
2019,9,9,0
2012,11,11,0
2019,43,97,1
2013,8,14,0
2013,45,194,0
2019,15,16,2
2020,2,2,0
2018,24,48,0
2013,15,44,0
2020,6,6,2
2018,42,97,2
2019,24,25,2
2019,51,62,0
2018,82,119,0
2013,5,9,0
2018,33,36,0
2018,33,89,1
2018,42,61,0
2013,6,6,2
2019,97,117,0
2017,96,161,0
2019,2,2,0
2019,5,5,0
2019,6,6,0
2018,36,83,0
2018,10,16,1
2020,17,17,0
2020,18,18,1
2019,24,23,0
2020,3,3,0
2015,7,35,0
2016,20,30,0
2017,7,9,0
2020,20,20,0
2015,1,1,0
2018,0,0,0
2016,16,76,0
2017,1,1,0
2020,25,34,1
2017,10,32,0
2014,37,105,0
2020,7,7,0
2017,63,113,0
2020,3,3,0
2020,4,4,2
2014,27,51,0
2014,6,6,0
2020,14,14,2
2020,1,1,0
2020,13,13,0
2017,5,8,0
2014,66,6403,2
2014,9,25,0
2017,4,15,0
2020,16,16,0
2018,16,20,0
2016,199,2186,0
2020,30,30,0
2020,9,9,0
2016,5,20,0
2020,2,2,0
2020,2,2,1
2016,17,41,0
2018,317,777,1
2015,20,38,0
2016,11,23,2
2019,41,88,0
2020,2,2,2
2016,31,65,0
2015,5,5,0
2013,23,90,0
2018,24,31,0
2016,13,22,0
2020,5,5,0
2019,13,15,0
2020,7,7,0
2018,168,611,2
2013,9,29,1
2020,14,14,0
2014,17,76,0
2017,15,43,2
2017,13,15,0
2020,9,9,0
2017,22,48,0
2020,68,68,0
2014,44,154,0
2020,5,5,2
2014,30,366,0
2017,17,30,0
2020,51,51,0
2014,45,152,2
2020,138,275,1
2020,9,9,0
2016,14,25,0
2015,16,38,0
2015,22,75,0
2016,21,49,2
2016,8,11,0
2020,6,6,0
2015,4,19,0
2016,4,4,0
2020,25,25,0
2020,171,293,0
2015,1,1,0
2014,41,120,0
2018,6,8,0
2019,12,22,0
2018,42,48,0
2012,5,28,0
2019,132,199,0
2020,2,2,2
2018,7,11,0
2019,33,46,0
2018,2,2,0
2019,3,3,0
2013,10,45,2
2019,16,30,1
2018,17,22,0
2013,3,3,0
2019,5,7,0
2018,33,38,0
2020,39,51,0
2013,6,12,0
2019,28,43,0
2018,15,37,0
2013,15,34,0
2013,17,24,0
2020,7,7,2
2018,14,31,0
2013,6,21,0
2019,4,4,0
2018,11,15,1
2019,29,96,2
2020,32,32,2
2018,6,22,0
2019,7,7,0
2019,4,4,0
2020,61,61,2
2020,4,8,0
2018,2,2,1
2012,19,37,0
2017,15,43,0
2020,11,11,0
2020,5,5,2
2017,36,62,0
2014,6,12,2
2012,7,20,0
2020,14,14,2
2017,9,11,0
2020,18,18,2
2012,148,1224,0
2017,194,607,2
2015,3,3,2
2020,102,147,0
2016,13,28,0
2015,0,0,0
2020,31,32,0
2020,5,5,2
2016,24,45,0
2020,4,4,0
2016,16,53,0
2020,45,45,2
2016,23,48,0
2020,38,38,0
2020,3,3,2
2020,11,17,0
2015,45,130,0
2019,15,17,2
2017,2,2,0
2019,1,1,1
2014,8,37,0
2017,71,176,2
2020,3,3,0
2019,40,102,0
2013,19,50,0
2012,6,11,0
2019,12,19,0
2015,8,13,0
2013,23,35,0
2019,45,64,0
2018,10,10,0
2019,7,11,0
2018,79,125,0
2020,1,1,2
2019,2,2,2
2019,9,9,2
2019,11,11,0
2012,3,8,2
2019,35,53,2
2019,10,10,0
2019,5,6,0
2020,13,13,1
2019,106,145,1
2012,4,28,0
2019,6,6,2
2019,33,43,0
2019,8,11,0
2018,18,34,0
2019,1,1,2
2018,22,131,0
2013,3,6,2
2018,66,92,0
2019,10,10,1
2013,14,40,0
2018,1,1,2
2018,14,32,0
2020,32,32,0
2013,10,24,0
2018,11,16,2
2018,43,56,0
2018,26,52,0
2020,59,471,0
2019,36,36,0
2019,10,18,1
2019,89,136,0
2012,21,49,2
2019,52,73,0
2012,20,43,0
2019,86,103,0
2019,10,10,2
2019,6,6,2
2019,1,1,0
2012,1,1,0
2019,74,100,2
2019,13,13,0
2019,53,71,0
2012,9,22,2
2019,4,4,0
2019,16,21,0
2013,5,10,2
2018,5,5,0
2019,7,7,1
2016,29,118,0
2013,18,106,0
2020,24,25,0
2019,1,1,0
2016,163,298,1
2018,21,27,0
2019,7,14,0
2014,4,13,2
2017,25,77,0
2017,14,36,0
2020,15,15,0
2015,7,14,0
2015,14,104,2
2020,69,105,0
2016,29,85,2
2015,32,165,0
2015,4,8,0
2016,218,542,1
2020,21,21,0
2015,6,14,0
2020,5,5,2
2016,11,46,0
2015,4,4,0
2017,14,21,0
2020,23,23,0
2016,44,264,1
2020,9,9,2
2020,20,20,0
2020,6,6,0
2017,20,68,0
2020,11,11,2
2020,4,4,0
2020,12,12,0
2017,58,206,0
2019,17,28,1
2020,17,132,0
2020,13,20,2
2020,8,8,1
2019,12,12,2
2019,4,4,2
2012,5,5,0
2019,8,9,0
2019,15,15,0
2019,13,14,2
2019,36,45,2
2018,35,46,0
2018,17,21,1
2019,6,6,0
2012,21,66,0
2019,3,3,0
2013,9,14,0
2013,8,40,2
2019,24,26,0
2019,5,5,0
2019,1,1,0
2019,7,7,2
2018,14,33,0
2013,9,15,1
2018,109,148,1
2020,13,13,0
2013,21,35,0
2020,13,13,2
2013,21,72,0
2019,85,116,1
2013,24,54,0
2018,82,146,0
2018,3,3,1
2018,15,25,0
2019,1,1,0
2012,6,66,2
2019,18,18,0
2019,7,9,2
2013,8,14,0
2018,5,5,2
2019,9,10,1
2019,3,3,0
2013,4,4,2
2019,52,74,0
2012,69,1161,0
2015,9,16,1
2018,50,95,0
2019,0,0,0
2016,46,158,2
2020,6,6,1
2018,17,21,2
2015,17,49,0
2020,18,32,0
2016,6,8,0
2019,164,267,1
2020,62,62,2
2014,14,80,0
2016,6,18,1
2020,10,10,0
2014,13,33,0
2016,6,11,2
2014,16,141,2
2020,15,15,0
2017,7,7,0
2020,55,56,0
2014,9,12,0
2014,134,531,1
2020,10,10,0
2015,30,76,0
2020,7,7,0
2019,140,184,0
2018,22,43,1
2020,16,15,0
2017,1,1,0
2018,13,20,0
2015,19,34,0
2020,19,302,0
2017,2,2,0
2020,39,56,0
2019,13,16,2
2018,10,11,2
2020,8,8,0
2020,3,3,0
2015,15,20,1
2013,10,18,0
2020,47,47,0
2014,22,35,0
2019,8,8,0
2015,2,2,0
2020,13,13,0
2014,6,1358,0
2020,1,1,0
2020,3,3,0
2017,148,394,2
2014,48,175,0
2020,4,8,0
2017,109,280,2
2015,27,66,0
2020,43,43,2
2017,3,3,2
2015,5,5,0
2017,47,91,0
2015,10,19,0
2018,67,174,0
2020,1,1,0
2015,8,14,0
2016,7,13,2
2020,15,15,2
2018,16,29,0
2019,8,12,0
2019,5,5,0
2019,5,5,0
2020,16,16,2
2019,32,36,0
2020,166,250,1
2014,7,30,0
2018,47,100,0
2019,9,20,0
2019,3,3,0
2013,4,5,2
2019,56,76,2
2020,10,10,0
2019,15,15,0
2019,2,2,1
2018,75,249,0
2019,102,396,2
2013,9,205,0
2018,19,30,0
2019,22,64,2
2018,1,1,2
2020,2,2,2
2019,0,0,0
2013,6,9,0
2019,16,18,0
2013,14,38,0
2012,11,153,2
2019,30,44,0
2017,139,220,0
2020,31,53,0
2018,9,19,2
2019,4,4,0
2012,25,159,0
2019,3,4,0
2017,29,79,0
2020,19,19,0
2018,9,10,2
2019,21,23,2
2012,41,199,2
2020,1,1,0
2018,31,37,1
2019,3,4,0
2016,23,44,0
2018,9,29,0
2013,30,89,0
2018,5,5,1
2018,5,5,2
2013,4,4,0
2020,0,0,0
2018,38,52,0
2016,8,8,2
2019,8,8,0
2019,123,160,0
2012,21,66,0
2019,3,3,0
2020,3,3,0
2019,181,274,0
2019,19,19,0
2019,13,14,0
2019,6,6,0
2012,7,7,2
2019,65,85,0
2019,19,29,0
2020,107,107,0
2018,2,2,0
2019,11,12,0
2013,5,14,2
2020,10,11,0
2018,16,19,2
2012,10,15,2
2017,7,8,0
2014,25,619,2
2016,5,5,0
2019,37,48,0
2015,4,6,0
2020,35,35,1
2019,12,13,0
2016,3,3,0
2015,5,20,2
2015,10,19,2
2016,54,83,0
2020,11,11,0
2015,6,8,0
2020,8,8,0
2016,8,11,0
2015,12,624,1
2016,64,488,0
2015,4,4,2
2020,9,9,0
2017,9,18,0
2015,28,245,0
2020,8,8,0
2019,27,40,0
2014,42,110,0
2017,9,13,0
2014,13,21,1
2019,20,20,0
2020,31,31,2
2020,13,13,0
2020,48,48,0
2017,4,4,0
2014,22,31,0
2017,7,13,0
2019,14,22,2
2017,14,19,2
2020,26,38,1
2017,60,234,2
2014,4,8,2
2020,91,91,2
2019,13,18,2
2019,47,59,2
2020,212,212,0
2016,3,3,0
2020,10,10,0
2020,6,6,0
2015,15,24,0
2020,11,28,0
2016,13,24,0
2020,18,18,1
2015,134,221,1
2020,40,40,0
2016,81,228,1
2020,33,33,0
2014,21,48,0
2016,2,2,2
2015,5,6,0
2020,21,21,0
2014,12,34,0
2019,13,36,2
2018,12,27,2
2016,65,432,0
2019,60,72,0
2013,4,16,0
2019,3,4,0
2020,2,2,0
2019,3,3,0
2019,61,82,0
2018,30,49,0
2020,27,27,0
2018,0,0,0
2019,5,5,0
2013,5,8,0
2019,19,27,0
2019,2,2,0
2013,44,211,0
2019,92,144,0
2013,6,9,0
2019,19,29,0
2020,25,25,0
2012,19,49,0
2019,15,24,0
2020,17,17,2
2012,10,13,2
2019,7,8,0
2019,15,19,2
2020,6,6,0
2015,27,148,2
2019,3,3,2
2018,21,36,2
2012,3,3,2
2019,5,5,2
2013,25,55,0
2018,10,11,0
2020,20,32,2
2019,21,23,0
2015,8,15,2
2018,133,382,0
2012,21,185,0
2015,42,146,2
2020,29,30,0
2016,13,32,0
2019,5,6,1
2016,11,34,1
2019,14,14,0
2015,3,3,2
2016,16,33,0
2020,1,1,0
2016,4,4,2
2020,13,13,2
2017,4,6,0
2014,11,30,0
2020,16,16,0
2020,3,3,0
2020,3,3,0
2017,23,28,0
2014,1,1,0
2017,14,23,0
2017,1,1,1
2020,63,63,2
2020,12,12,1
2017,46,71,2
2020,4,4,0
2020,10,10,0
2016,21,40,0
2013,8,9,0
2015,86,569,0
2016,161,1951,0
2016,12,13,0
2020,36,36,2
2016,14,36,0
2013,7,25,0
2019,58,58,0
2020,19,21,2
2019,1,1,0
2019,34,42,2
2020,0,0,0
2012,7,20,2
2018,2,2,0
2019,7,8,0
2019,7,7,1
2020,32,32,0
2012,7,24,0
2018,1,1,0
2019,61,82,0
2018,0,0,0
2019,4,4,0
2013,14,45,2
2018,26,62,1
2019,50,91,0
2013,6,14,0
2019,3,3,0
2020,15,15,0
2019,8,8,0
2019,1,1,0
2013,5,5,0
2018,8,10,0
2018,1,1,0
2018,10,14,2
2018,55,107,0
2013,20,46,0
2019,7,8,0
2012,35,286,0
2014,7,10,0
2018,33,44,0
2019,16,17,0
2019,37,87,0
2018,9,9,0
2014,18,82,2
2019,14,321,2
2019,13,13,0
2018,13,13,0
2020,0,0,2
2017,93,166,0
2020,0,0,0
2019,4,5,2
2019,60,79,0
2020,40,40,2
2017,12,17,0
2019,8,8,2
2019,17,17,0
2013,8,28,0
2018,15,21,2
2012,5,8,0
2018,19,21,0
2019,43,46,2
2013,9,33,0
2018,9,12,0
2013,10,50,0
2013,20,21,0
2018,8,16,2
2013,14,25,0
2019,153,300,2
2019,1,1,0
2018,11,15,2
2018,22,46,0
2020,18,18,2
2013,7,7,0
2019,43,69,0
2018,42,67,0
2019,14,17,2
2020,10,10,0
2019,42,64,0
2012,19,77,2
2019,13,22,0
2019,1,1,0
2019,16,19,0
2012,4,4,0
2016,42,176,0
2020,1,1,2
2015,23,89,0
2016,7,9,0
2018,61,163,0
2014,7,8,0
2014,3,3,0
2016,7,10,0
2020,3,3,0
2014,10,14,0
2014,5,10,0
2017,19,24,0
2016,11,15,0
2014,6,18,0
2020,20,39,2
2017,13,18,0
2020,10,10,0
2014,12,31,2
2017,15,22,2
2020,11,11,0
2020,2,2,0
2014,54,115,0
2018,2,2,0
2015,34,136,0
2016,174,378,0
2019,3,3,1
2020,81,132,0
2015,22,57,0
2020,38,39,2
2020,30,30,0
2016,4,6,0
2016,28,63,0
2020,45,45,0
2015,8,300,0
2015,5,7,0
2015,27,58,0
2020,32,51,0
2016,14,20,2
2015,15,27,0
2019,32,42,0
2020,18,26,1
2016,0,0,0
2014,8,20,0
2016,0,0,2
2019,1,1,0
2017,17,18,0
2014,7,9,2
2020,3,3,0
2017,184,306,2
2014,12,25,0
2020,11,11,0
2019,14,15,0
2020,21,21,0
2017,6,11,0
2019,17,22,2
2020,40,40,2
2014,19,54,2
2020,22,22,0
2020,51,51,2
2017,1,1,0
2015,9,23,0
2020,26,25,0
2017,5,15,0
2015,5,49,0
2020,100,100,2
2016,4,7,0
2019,41,51,0
2012,18,54,0
2019,13,13,0
2019,7,8,2
2012,16,44,0
2019,10,10,2
2019,9,9,0
2019,17,20,2
2020,0,0,0
2013,12,24,0
2016,37,107,0
2018,14,18,0
2019,7,14,0
2019,19,24,2
2018,13,20,0
2018,13,45,0
2016,3,3,2
2018,2,2,0
2013,10,15,2
2013,21,28,0
2012,7,12,0
2019,4,4,0
2018,16,17,2
2019,15,19,0
2018,16,31,0
2019,17,17,0
2020,10,10,0
2012,6,16,0
2013,28,113,0
2018,0,0,0
2020,11,12,0
2018,34,58,0
2019,31,41,1
2019,42,75,0
2019,3,3,0
2013,5,13,0
2020,20,20,0
2018,28,63,0
2019,7,8,0
2018,13,18,2
2020,22,22,0
2013,5,5,2
2019,219,718,0
2019,22,22,1
2018,14,21,0
2019,26,29,0
2019,10,10,0
2018,1,1,0
2019,126,198,0
2018,12,275,2
2019,14,15,0
2013,14,25,0
2019,58,68,2
2018,26,33,0
2016,3,3,2
2019,18,24,2
2012,4,10,0
2019,6,8,0
2015,4,4,0
2019,19,27,0
2020,14,14,0
2018,16,21,0
2013,11,27,0
2012,9,23,0
2018,8,9,2
2015,3,4,0
2020,13,13,0
2013,13,33,0
2019,56,136,2
2019,3,3,0
2012,13,35,0
2020,11,11,0
2019,87,110,0
2019,6,8,1
2012,12,28,0
2020,10,10,0
2020,6,6,0
2016,38,66,2
2019,32,48,0
2016,1,1,0
2020,30,30,2
2019,15,19,0
2019,38,53,0
2020,47,47,0
2014,7,17,2
2017,13,47,2
2020,7,7,0
2014,66,120,1
2014,19,31,0
2020,31,40,0
2015,14,24,0
2014,10,23,0
2016,9,23,0
2020,13,13,0
2020,18,18,2
2020,46,46,0
2016,10,16,0
2020,77,121,0
2020,1,1,2
2020,9,9,1
2018,78,115,0
2019,5,5,0
2013,29,71,0
2020,38,38,0
2018,0,0,0
2013,10,17,0
2019,4,4,1
2012,4,4,0
2020,63,64,0
2019,1,1,0
2019,75,117,1
2012,8,46,0
2018,3,3,0
2020,7,7,0
2019,16,19,0
2019,27,57,0
2019,1,1,0
2020,2,2,0
2019,20,28,0
2019,16,23,1
2014,32,125,0
2019,65,85,2
2020,1,1,1
2019,17,35,2
2014,5,6,0
2012,3,27,2
2013,5,8,0
2018,51,89,0
2019,1,1,0
2018,9,9,0
2019,40,55,0
2013,19,65,0
2018,5,5,2
2020,12,12,2
2020,17,17,2
2017,33,63,2
2020,4,4,0
2020,46,71,0
2017,40,108,1
2019,16,25,0
2020,33,38,0
2016,7,12,0
2015,4,9,0
2016,11,26,0
2020,39,39,2
2015,29,139,0
2016,23,53,0
2013,21,82,1
2019,18,51,0
2016,125,314,0
2015,9,14,0
2013,21,44,0
2020,3,3,0
2016,247,657,2
2016,34,249,2
2020,30,30,0
2020,6,6,0
2014,10,23,0
2017,6,6,1
2020,8,8,2
2014,32,84,0
2017,31,63,0
2016,3,6,2
2014,20,164,0
2020,2,2,0
2014,4,4,0
2020,1,1,1
2016,1,1,2
2017,15,89,0
2014,5,17,0
2015,29,42,0
2018,22,28,0
2016,8,12,0
2015,18,93,0
2016,36,90,0
2020,1,1,1
2018,9,13,0
2020,19,19,0
2016,15,22,0
2019,6,6,0
2016,1,1,1
2020,61,61,0
2018,2,2,0
2020,15,15,0
2015,6,8,2
2014,8,33,0
2017,330,1038,2
2020,1,1,2
2020,119,190,0
2014,5,20,0
2014,15,23,0
2020,1,1,0
2020,10,10,2
2014,21,36,0
2017,20,54,0
2013,5,5,2
2018,19,25,0
2019,30,30,0
2018,4,9,0
2019,1,1,0
2012,60,409,1
2018,22,38,2
2013,9,11,2
2019,69,112,0
2019,3,3,0
2020,87,195,2
2017,24,61,0
2020,35,35,2
2020,36,36,0
2019,12,12,2
2019,9,10,1
2019,14,15,0
2019,59,83,2
2012,8,17,0
2019,25,36,0
2018,15,29,0
2019,73,160,2
2013,6,12,2
2019,20,36,0
2018,14,20,0
2013,16,22,0
2020,10,10,0
2019,3,8,2
2018,34,66,0
2013,15,32,0
2012,4,4,0
2019,26,33,0
2019,1,1,0
2019,6,6,0
2019,43,67,0
2019,2,2,0
2019,2,2,0
2020,39,39,2
2019,23,23,0
2018,85,150,0
2018,12,14,0
2012,2,2,0
2020,5,5,0
2015,11,20,0
2019,26,43,0
2018,72,111,2
2019,0,0,2
2019,78,78,0
2020,4,4,1
2012,2,2,0
2013,10,15,2
2015,5,15,0
2018,15,15,0
2019,12,12,2
2018,1,1,0
2013,11,38,2
2018,3,12,2
2019,12,13,0
2018,21,32,2
2019,13,20,0
2019,9,10,2
2019,5,5,0
2016,10,16,0
2020,5,5,1
2020,5,5,0
2015,25,50,0
2015,11,71,0
2012,9,16,0
2014,7,11,0
2017,49,96,0
2020,10,10,2
2017,271,519,2
2017,21,39,0
2012,10,34,0
2014,6,20,0
2020,84,84,2
2017,8,8,1
2014,16,137,0
2019,24,30,0
2017,6,7,0
2014,3,4,0
2019,3,3,0
2020,1,1,2
2015,23,1048,1
2020,30,36,2
2016,33,60,2
2020,1,1,1
2015,11,425,0
2020,42,42,1
2016,15,24,2
2020,19,19,0
2020,11,11,0
2015,44,226,2
2020,8,9,0
2015,6,20,2
2016,9,11,0
2020,10,11,0
2015,7,11,0
2020,8,8,1
2016,21,62,0
2015,14,41,2
2017,4,4,0
2014,7,12,2
2017,274,885,0
2020,9,9,0
2019,9,13,0
2020,19,20,0
2017,130,299,0
2020,4,4,0
2020,38,38,0
2020,10,10,2
2017,98,371,0
2019,47,61,1
2017,54,114,0
2016,39,95,0
2016,80,252,2
2020,15,15,0
2015,24,70,0
2015,3,5,0
2016,56,308,2
2017,5,5,0
2020,68,68,2
2016,30,146,0
2015,5,7,0
2012,15,58,2
2019,2,2,2
2019,44,67,0
2012,5,8,0
2019,6,6,0
2013,17,47,0
2018,4,4,0
2020,19,34,2
2018,13,19,0
2013,13,26,0
2020,43,43,0
2018,21,28,0
2018,18,23,0
2018,10,10,0
2016,26,89,0
2019,6,6,0
2020,1,1,0
2012,7,17,0
2016,5,7,2
2018,90,163,0
2019,186,294,0
2013,7,13,0
2012,7,17,0
2019,6,11,0
2019,5,9,2
2019,6,6,0
2019,8,11,0
2019,3,3,0
2018,59,134,1
2019,22,33,0
2014,13,24,0
2014,17,91,0
2020,10,18,2
2019,33,53,0
2016,27,95,0
2020,12,12,0
2018,77,126,2
2015,13,15,0
2020,5,5,0
2020,27,27,0
2016,11,17,0
2019,40,40,0
2015,19,51,1
2018,35,66,2
2020,33,33,0
2018,11,16,0
2020,12,12,2
2015,15,57,0
2020,23,23,0
2017,8,17,0
2020,24,24,0
2015,5,5,0
2018,121,232,0
2014,9,14,0
2017,32,51,0
2020,29,29,2
2020,16,16,0
2014,15,32,0
2017,176,278,0
2020,59,108,0
2014,25,64,2
2014,3,5,0
2020,4,4,0
2012,50,583,2
2013,4,9,0
2019,50,75,2
2013,0,0,0
2018,10,17,1
2018,14,17,0
2019,173,240,1
2012,49,366,0
2019,4,4,2
2019,3,3,0
2019,4,4,0
2019,6,8,1
2012,24,222,0
2019,1,1,0
2019,21,30,1
2017,28,62,0
2019,4,4,1
2012,8,12,0
2019,82,106,2
2018,10,17,0
2019,5,5,0
2019,39,121,0
2012,4,27,0
2017,15,21,0
2018,4,6,0
2019,8,11,2
2018,5,7,0
2013,8,10,0
2020,21,21,0
2018,20,31,1
2018,4,4,2
2020,16,16,0
2019,2,2,0
2018,23,36,0
2019,5,5,0
2013,11,70,1
2013,12,17,0
2018,2,2,0
2018,33,42,0
2019,3,3,0
2020,73,73,0
2013,12,36,0
2018,66,128,0
2019,11,13,1
2018,1,1,0
2020,8,16,0
2019,19,50,0
2013,5,10,0
2018,24,29,1
2019,1,1,2
2019,4,4,0
2018,62,450,0
2014,7,10,0
2020,1,1,0
2019,1,1,1
2019,17,17,2
2020,12,12,2
2013,1,1,0
2019,11,14,0
2019,65,90,2
2014,26,77,0
2019,12,14,2
2012,16,36,2
2020,20,20,1
2020,1,1,0
2019,0,0,0
2019,8,15,2
2018,3,4,0
2017,6,10,2
2020,54,54,0
2019,34,39,1
2012,4,12,0
2018,80,143,0
2018,8,9,0
2017,11,16,2
2020,123,239,0
2019,3,3,0
2012,7,10,0
2019,7,7,2
2013,14,39,0
2019,10,10,0
2019,30,49,0
2020,0,0,0
2017,109,390,2
2014,10,14,0
2017,74,234,0
2014,24,59,0
2020,2,2,0
2020,56,56,0
2020,29,29,0
2015,6,8,2
2014,2,2,0
2020,11,11,0
2020,1,1,0
2018,6,7,0
2020,86,179,0
2013,3,9,0
2015,23,39,0
2018,90,127,0
2020,32,32,0
2016,28,48,0
2015,33,294,0
2016,4,7,0
2016,16,20,0
2020,30,30,0
2015,34,1014,0
2017,2,2,0
2020,70,69,2
2015,26,50,0
2020,22,22,2
2017,17,32,0
2015,4,5,0
2020,7,7,0
2014,0,0,0
2020,32,32,0
2018,9,9,0
2020,3,3,0
2018,44,63,2
2019,32,45,1
2019,16,24,0
2020,5,5,0
2019,8,8,2
2019,54,73,0
2020,48,48,0
2019,17,17,0
2018,16,32,0
2018,2,2,0
2017,29,70,2
2014,5,7,2
2019,29,29,2
2019,35,45,0
2020,0,0,0
2019,29,42,0
2017,7,13,0
2017,0,0,0
2019,9,11,2
2019,5,5,2
2019,32,41,0
2019,33,47,2
2020,1,1,1
2019,16,23,0
2016,16,138,0
2019,78,94,1
2015,11,56,0
2020,4,4,0
2014,0,0,0
2017,10,14,0
2020,28,28,2
2014,20,34,0
2020,13,13,0
2019,13,21,0
2016,4,11,0
2016,8,21,0
2020,18,18,1
2020,31,31,2
2016,1,1,0
2019,6,6,0
2018,8,10,0
2019,53,67,0
2018,52,93,0
2018,10,38,2
2014,5,18,0
2019,16,22,0
2018,35,63,0
2019,399,824,1
2020,3,3,0
2019,52,64,0
2015,40,71,0
2020,24,24,1
2015,10,15,0
2017,31,91,1
2017,12,58,0
2020,20,20,0
2016,25,65,0
2018,12,15,2
2015,11,15,2
2020,40,40,2
2014,75,303,0
2017,5,12,2
2015,7,23,2
2019,8,12,0
2019,208,287,0
2020,264,386,0
2015,15,22,0
2016,5,7,0
2018,65,90,0
2020,118,717,1
2019,7,11,0
2015,24,48,0
2020,43,43,0
2020,15,15,0
2019,74,152,0
2019,25,27,2
2018,6,6,0
2020,40,58,0
2019,54,79,2
2019,20,34,0
2015,3,3,0
2020,31,40,2
2016,39,116,0
2015,8,18,0
2015,3,3,0
2020,9,9,0
2020,81,81,0
2015,16,28,0
2015,38,81,0
2020,86,86,0
2020,29,39,2
2018,2,2,0
2018,10,12,1
2019,17,18,0
2014,6,18,0
2020,64,141,1
2020,226,385,2
2019,33,33,2
2020,3,3,0
2019,53,77,0
2020,12,12,0
2020,32,32,0
2018,20,24,1
2019,4,26,0
2020,83,83,0
2016,3,3,0
2015,24,37,0
2017,14,33,0
2020,5,5,0
2018,5,6,0
2018,36,59,0
2020,64,103,0
2020,128,127,0
2020,8,8,0
2015,12,79,0
2020,26,26,0
2020,10,10,2
2015,14,23,0
2015,40,178,0
2019,11,14,2
2020,20,20,0
2017,23,30,0
2014,11,29,0
2017,61,96,2
2017,135,263,0
2019,51,65,2
2015,6,9,0
2015,13,30,0
2019,31,73,2
2019,23,30,0
2020,14,14,0
2019,18,20,0
2020,50,50,0
2019,16,17,0
2020,15,15,2
2020,24,26,0
2020,3,3,0
2019,31,47,0
2020,32,32,0
2016,4,8,0
2020,9,9,0
2020,67,67,0
2014,2,2,0
2014,2,2,0
2018,100,355,0
2018,31,65,2
2019,15,17,0
2018,17,27,0
2019,52,65,2
2018,6,7,2
2019,13,16,2
2015,31,60,2
2014,5,6,0
2014,3,4,0
2014,3,3,0
2020,4,4,0
2017,66,131,0
2015,16,18,2
2018,6,16,2
2020,11,11,0
2019,16,19,0
2016,16,23,1
2019,4,4,0
2019,27,41,0
2019,14,19,0
2020,1,1,0
2018,23,46,2
2019,10,10,0
2019,2,2,0
2019,27,40,0
2015,18,52,0
2015,8,21,0
2020,5,5,0
2019,16,32,0
2019,13,23,0
2020,44,44,2
2014,11,18,0
2017,37,55,0
2020,8,12,2
2020,53,53,2
2016,2,2,0
2016,7,19,0
2018,27,48,0
2020,13,16,1
2019,89,114,0
2018,8,12,0
2014,6,40,2
2019,21,34,0
2017,26,49,2
2019,62,82,0
2019,7,7,0
2020,33,34,2
2020,5,5,1
2016,4,4,0
2020,10,10,0
2019,94,124,0
2019,9,9,0
2020,26,45,0
2016,7,11,0
2014,43,221,0
2020,35,35,0
2020,10,19,1
2020,93,127,0
2020,73,73,1
2020,20,32,0
2020,27,27,0
2015,14,68,0
2016,19,49,0
2019,3,3,0
2017,13,16,0
2019,12,22,0
2017,927,2809,0
2017,12,17,2
2020,6,6,0
2014,3,4,0
2016,0,0,0
2020,14,14,0
2020,13,13,2
2019,12,12,2
2019,10,10,0
2019,51,63,2
2018,7,7,2
2020,7,8,2
2019,16,16,1
2019,9,12,0
2020,37,59,0
2020,5,5,2
2015,11,25,0
2015,1,1,0
2015,15,34,0
2020,82,159,0
2016,18,42,2
2020,5,5,0
2014,9,16,1
2016,4,7,0
2019,14,18,0
2019,2,2,0
2020,52,118,0
2019,32,41,0
2018,9,10,0
2018,30,41,0
2019,14,17,0
2017,24,39,0
2019,24,27,0
2018,26,30,0
2020,9,9,0
2020,6,6,0
2018,11,15,0
2016,4,8,0
2019,36,45,0
2019,1,1,0
2019,31,102,0
2019,9,9,0
2019,4,4,0
2019,10,13,0
2017,11,11,0
2020,12,12,0
2019,67,89,2
2020,23,23,0
2017,50,86,2
2019,78,101,2
2019,65,105,0
2019,48,55,2
2020,39,39,0
2018,59,135,0
2019,23,33,0
2019,7,11,0
2019,52,52,2
2017,68,125,0
2020,27,27,2
2020,66,66,0
2020,6,6,1
2014,8,8,2
2020,9,9,0
2017,87,410,2
2019,62,247,0
2018,41,104,2
2019,11,13,0
2019,6,8,0
2018,4,4,0
2019,2,2,0
2019,13,13,2
2018,2,2,2
2020,3,3,0
2018,115,170,1
2020,12,12,0
2019,24,75,0
2019,31,70,0
2014,2,2,0
2020,10,164,0
2015,9,9,0
2020,1,1,0
2018,33,82,2
2019,118,169,0
2019,6,7,1
2020,6,6,1
2020,21,21,0
2019,35,49,2
2019,16,22,0
2019,7,7,2
2014,50,370,1
2019,31,40,0
2016,24,54,0
2020,3,3,0
2017,49,88,2
2020,16,16,0
2014,21,81,0
2019,8,21,0
2018,20,26,0
2019,17,23,2
2018,9,12,0
